"","SRR2166176","SRR2167642"
"MIR3972",0,0
"AMOT",0.871566588726346,0.988495012570197
"NADK2",8.24508841842183,8.47645421764597
"LINC00339",2.64517234510472,3.93919859783842
"ERC1",9.90509790096528,10.0769708581737
"MIR4281",0,0
"HPSE",0.405056836638022,0.376824397449635
"SPATA8-AS1",0,0
"LOC101928659",0.149023794090407,0.152978586323822
"ADARB2",0.832742920149538,1.06782341864368
"PIKFYVE",15.673376680516,12.4761578742821
"MIR7159",0,0
"KRT6C",0,0.0105912315462453
"EPOP",0.779319510451003,0.5443306353383
"ATIC",4.56404338825762,6.20003360666841
"PAPPA-AS1",0.207325551900878,0.187789019742406
"MIR4639",0.433032908914878,0.44452473272357
"MIR638",0,0
"FLJ40288",0,0
"SPATA17",0.0412760455005586,0.0659111115596268
"KLHL32",5.01368946044316,6.46317834598399
"CYP4F2",0,0.029286002442323
"AFMID",10.1049213460989,9.91088097276869
"MIR3135B",0,0
"SNORD115-35",0,0
"STEAP3",1.60465175914205,1.84221494889781
"BMT2",5.22056856622439,5.81867620782314
"P4HB",18.8132915175953,19.9719270685498
"SRSF7",27.7223493186329,33.1365989266102
"GAS5-AS1",1.63604075961788,1.81204678512245
"SLC24A4",0.014512551693442,0.061718983498464
"SNX22",5.7250900191113,6.54716252346234
"FGF14",11.038326407805,10.4038947602182
"KCNA10",0,0
"LOC101929897",0,0
"LANCL1-AS1",0.896198881677462,1.71116689255378
"COX7C",63.4765841484425,58.7281185273692
"ATP2C1",16.4645881756153,14.6225871648476
"TXNDC11",6.57176876865785,7.67519800634037
"SNORA67",19.1925242549718,17.6868928326728
"RMI2",0.0442491976529087,0.136270447499117
"CTHRC1",1.58144788694927,0.880789715345858
"CALD1",12.1909124445747,13.1812896210534
"GRIK1",2.45824268731239,4.69265960775441
"CMTM4",10.6235770954608,9.11815133969154
"CENPBD1",1.84023205206137,3.11863907786496
"CCDC152",15.4316723133793,26.0950658532751
"FAM13C",8.33150699786515,9.41559072924349
"EBF1",8.70068112925101,8.70816612214354
"NSMCE2",3.23667125098663,2.95339200557766
"OR13C5",0.0312218084797561,0
"CEP97",8.08148233059392,6.35605201865301
"C9",0.0506256704763243,0.062363008928349
"SEPT9",10.3660876912647,10.9611825055187
"IER5",3.01075745983367,3.30304803190658
"TMEM132A",8.65845460002362,9.71926336259968
"NTPCR",2.69882147496287,3.02581878747299
